ROW,PROJECT,DATE,DAY,MONTH,YEAR,SITE,SAMPLE,SUBSTRATE,AVERAGE_DEPTH,CPOM_OM_AREA_g_m2,CPOM_ASH_AREA_g_m2,EPIL_OM_AREA_g_m2,EPIL_ASH_AREA_g_m2,EPIL_CHLA_MG_M2_HAUER,EPIL_PHAEO_MG_M2_HAUER,EPIL_640_664,PHICOCYANIN_MG_M2,EPIL_CHLA_MG_M2_RITCHIE,EPIL_CHLB_MG_M2_RITCHIE,EPIL_CHLC_MG_M2_RITCHIE,EPIL_CHLD_MG_M2_RITCHIE,EPIL_CHL_TOTAL_MG_M2_RITCHIE,EPIP_OM_AREA_g_m2,EPIP_ASH_AREA_g_m2,EPIP_CHLA_MG_M2_HAUER,EPIP_PHAEO_MG_M2_HAUER,EPIP_640_664,EPIP_PHICOCYANIN_MG_M2,EPIP_CHLA_MG_M2_RITCHIE,EPIP_CHLB_MG_M2_RITCHIE,EPIP_CHLC_MG_M2_RITCHIE,EPIP_CHLD_MG_M2_RITCHIE,EPIP_CHL_TOTAL_MG_M2_RITCHIE,FBOM_AREA_g_m2,FBOM_ASH_AREA_g_m2,FBOM_CHLA_MG_M2_HAUER,FBOM_PHAEO_MG_M2_HAUER,FBOM_640_664,FBOM_PHICOCYANIN_MG_M2,FBOM_CHLA_MG_M2_RITCHIE,FBOM_CHLB_MG_M2_RITCHIE,FBOM_CHLC_MG_M2_RITCHIE,FBOM_CHLD_MG_M2_RITCHIE,FBOM_CHL_TOTAL_MG_M2_RITCHIE,FILA_OM_AREA_g_m2,FILA_ASH_AREA_g_m2,FILA_CHLA_MG_M2_HAUER,FILA_PHAEO_MG_M2_HAUER,FILA__640_664,FILA_CHLA_MG_M2_RITCHIE,FILA_CHLB_MG_M2_RITCHIE,FILA_CHLC_MG_M2_RITCHIE,FILA_CHLD_MG_M2_RITCHIE,FILA_CHL_TOTAL_MG_M2_RITCHIE,MACRO_OM_AREA_g_m2,MACRO_ASH_AREA_g_m2
11,LTREB,8/18/2020,18,8,2020,WS,3,COBBLE,35.5,NA,NA,5.471773936,13.22345368,12.35731746,2.173183416,1.292279412,7.924952583,13.7393421,2.975880341,1.025563645,0.186206519,17.92707286,0.233836493,0.480144266,NA,NA,1.304347826,NA,NA,NA,NA,NA,NA,6.36E-08,1.41E-07,-1.053166667,15.7975,0.594594595,1.01175,1.558544667,-4.497475278,-6.533126139,-0.478541972,-9.950573083,5.934752442,52.82606384,5.302584191,0.738497555,1.355932203,5.793235605,1.15097716,0.348578597,0.046945024,7.339770398,NA,NA
12,LTREB,8/18/2020,18,8,2020,GC,4,COBBLE,25.25,46.77584047,147.9877178,21.7146803,131.1694895,14.60996501,9.272682995,1.388400703,34.06240072,19.5160356,5.728816173,1.56649594,1.204678296,28.01614178,23.23399394,141.8510626,7.251749012,7.524587094,1.656167979,14.02644819,11.25036697,2.801090041,0.882332971,0.800412974,15.73427287,2.37E-07,1.49E-06,12.87061364,16.08826705,1.634285714,24.651575,21.26160526,4.790233739,2.103030034,2.393029727,30.54804108,322.4646895,1619.054534,170.6860335,63.92967801,1.515337423,207.9225662,49.69411412,1.751295658,-3.151420928,256.2176941,NA,NA
13,LTREB,9/1/2020,1,9,2020,WS,2,COBBLE,27,6.182636874,9.685741376,6.695907976,18.17844896,0.358997476,25.97705735,1.234404537,8.589048223,16.12815629,2.665816027,1.599119432,0.394093177,20.78728443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36E-08,5.89E-07,1.029857143,0.892542857,2.090909091,7.5384,2.439815143,1.438372286,1.248139286,1.178427857,6.304775143,43.39186882,138.9538284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,LTREB,9/1/2020,1,9,2020,WS,4,COBBLE,27.25,10.52614973,3.035197679,7.693220619,32.60616058,0.087408081,23.77499805,1.328205128,25.46292339,14.40793789,3.341659063,1.487946455,0.699448959,19.9370801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97E-08,6.80E-07,1.914671053,1.033922368,1.533333333,4.526225,3.221441934,1.676246461,1.915910211,1.133786447,7.947409434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,LTREB,9/29/2020,29,9,2020,WS,5,COBBLE,16.75,17.65816277,1.301300083,5.854486329,44.46245023,NA,NA,1.244040863,15.27139368,26.7094492,2.54077609,2.818461836,0.463162654,32.53202121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44E-08,3.45E-07,NA,NA,1.44966443,10.6932,13.99951433,1.157641075,1.779689175,0.593161888,17.53010026,11.64799706,58.87185294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,LTREB,9/29/2020,29,9,2020,BG,1,COBBLE,17.5,NA,NA,11.26624223,62.11866436,NA,NA,1.281517748,25.1252635,69.5355318,4.97650214,11.86398429,1.69841534,88.07489193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17E-08,1.63E-07,NA,NA,1.25,3.30575,6.467221667,0.410491667,1.034966667,0.210784167,8.1235075,22.22740208,137.1726133,47.03858269,5.226509188,1.35523614,50.04997666,3.52710045,5.838311844,0.083219598,59.49892828,NA,NA
17,LTREB,9/29/2020,29,9,2020,BG,3,COBBLE,31.5,NA,NA,25.00179783,130.4807631,NA,NA,1.217553688,18.85657479,100.0845664,6.643406165,16.24290116,1.752438304,124.7239678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99E-08,4.13E-07,NA,NA,1.243902439,9.28935,8.286445364,0.873319364,1.289006727,0.637277455,11.08610618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,LTREB,9/29/2020,29,9,2020,GC,2,COBBLE,20.5,NA,NA,20.47940005,93.37792674,NA,NA,1.13732834,61.35682506,60.53253057,8.951228401,6.045394799,1.508184395,77.03771656,5.526725511,29.73581763,NA,NA,1.312625251,76.57057805,19.48570261,1.086153124,2.182695814,0.376990492,23.13167088,6.90E-08,7.33E-07,NA,NA,1.315789474,6.01675,7.519508091,0.671162545,0.952171886,0.335944682,9.478837523,105.8790684,639.951865,125.0226767,32.01515273,1.315254237,144.1866238,16.16637866,12.73734216,2.044365173,175.1356201,NA,NA
19,LTREB,10/20/2020,20,10,2020,GC,1,COBBLE,30,101.8603455,5.005270132,18.7162729,42.51848952,71.69960022,9.668582454,1.137426901,146.1496788,78.16083398,11.67782928,-29.70941412,2.28576755,62.41550494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-08,1.06E-07,4.005,3.00375,1.19047619,13.974,5.9835375,0.3212475,-0.20721,-0.1126875,5.984925,5.112955815,20.79953587,5.387857913,1.013768002,1.320197044,5.949774162,0.897456703,0.644241719,0.065647326,7.557156286,7.191213035,-703.976016
20,LTREB,10/20/2020,20,10,2020,GC,4,COBBLE,30,10.41390821,3.825565025,5.537248154,22.0367511,21.17772936,6.583077192,1.205387205,26.32437703,24.67697574,2.664844448,3.320618128,0.648584611,31.31118194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69E-07,4.91E-06,38.715,36.045,1.339622642,30.75,59.203035,7.483705,4.23471,3.076045,73.997885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,LTREB,10/20/2020,20,10,2020,BG,3,COBBLE,40,39.94394973,0.896762951,0.188238377,0.778675522,7.610746488,2.340663542,1.119601329,11.06303832,8.959552173,1.496396943,0.647483276,0.182441979,11.28592923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95E-08,1.49E-07,NA,NA,1.277777778,11.94,7.081592727,0.540058182,0.26884,-0.54616,7.344370909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,LTREB,10/20/2020,20,10,2020,BG,4,COBBLE,20,95.32695391,11.20076801,0.397522038,1.65556237,38.15362739,-2.268239704,1.041033435,16.10911292,36.60913691,-0.295063656,4.067074933,0.428049404,40.80944754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.27E-09,5.41E-08,0,7.136181818,1.238095238,4.546,4.267596364,0.082592727,0.183070909,0.509932727,5.043225455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,LTREB,10/20/2020,20,10,2020,BG,5,COBBLE,40,433.9100848,104.6308006,0.162516363,0.65941891,8.413027803,5.047816682,1.299363057,5.975866955,11.20389143,1.69864388,1.056995374,0.378220999,14.33782241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04E-08,1.35E-07,0,15.6996,1.285714286,11.124,9.305496,0.92576,1.0323,1.101936,12.36556,12.44438941,129.2657413,13.66998528,2.358072461,1.490566038,14.50759187,6.993492793,-0.070929048,0.091322669,21.52154484,NA,NA
24,LTREB,10/20/2020,20,10,2020,BT,3,COBBLE,25,4.199703414,0.227990581,0.079504408,0.299310711,12.20591418,4.078211326,1.089361702,11.59548401,14.13067471,0.843934493,2.27553414,0.251831217,17.5020676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59E-08,1.05E-07,2.0025,5.94075,1.2,6.775,5.0453195,0.6035075,0.3350915,0.163463,6.147414,24.56237611,31.53969744,0.668189804,18.6257908,1.331360947,11.79207102,1.685553828,1.40081175,0.066749534,14.94525808,NA,NA
25,LTREB,10/20/2020,20,10,2020,BT,5,COBBLE,40,205.7761138,33.90629148,0.169531457,0.82076609,7.779319216,16.57257217,1.404347826,7.876548429,16.75235684,1.544518143,2.399854013,0.536238756,21.23307775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-08,2.08E-07,5.750769231,8.626153846,1.1875,18.06,10.70561846,1.076763077,0.380713846,0.449833846,12.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,LTREB,7/21/2020,21,7,2020,WS,2,COBBLE,23.5,NA,NA,21.32588816,95.31175454,49.9474749,10.5389172,1.149171271,1.438562105,56.2515758,10.10779193,5.201584286,1.985914408,73.54721531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07E-07,8.29E-07,21.10513636,4.848477273,1.316831683,2.43695,23.65238255,1.313996091,2.384681727,0.408637227,27.75985355,5.301073296,23.31817508,5.720277299,1.129002098,1.572815534,6.292463455,2.063774679,0.038158298,0.047732686,8.442162382,NA,NA
27,LTREB,7/21/2020,21,7,2020,WS,3,PEBBLE,18,NA,NA,0.383491848,0.31801763,0.649317174,0.084910707,1.176470588,0.313808574,0.706554642,0.16562405,0.053092015,0.014528261,0.939803083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80E-08,3.45E-07,1.068,0.9879,NA,1.27008,1.662317,0.163163,0.287932,0.178472,2.291896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,LTREB,7/21/2020,21,7,2020,WS,4,PEBBLE,31,NA,NA,1.908105783,6.341645689,3.146690919,0.157334546,1.419047619,NA,3.253679252,0.323618389,0.269941409,0.050840917,3.898100731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01E-08,2.87E-07,-2.06925,11.12221875,NA,4.2687,3.82422975,1.291603375,-2.763093938,0.624349688,2.977114063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,LTREB,7/21/2020,21,7,2020,CR,1,COBBLE,24,NA,NA,13.81506,76.86673197,30.06837989,7.132499416,1.061181435,5.929999927,34.42503829,7.955920205,2.924645584,1.067297847,46.3731062,1.643870546,10.30751261,4.151883851,0.913414447,1.268041237,1.501697958,4.843999557,0.276643864,0.253156508,-0.053436011,5.320394574,4.67E-08,8.21E-08,1.78,0.2136,1.416666667,0,1.513769333,0.109689333,0.112154667,-0.032928,1.702694667,57.95169805,130.4094429,108.456562,264.2396238,0.631782946,261.9913935,77.1234908,-18.57339858,4.966946803,325.509882,NA,NA
30,LTREB,7/21/2020,21,7,2020,CR,2,COBBLE,36.75,NA,NA,14.04421977,61.5293964,29.23800312,3.068023646,1.106086957,2.168506101,31.43556406,6.888519891,2.084464213,0.526566905,40.93529921,2.099267116,16.06105952,5.782981078,1.939522885,1.288770053,1.367855795,6.651332258,0.544619532,0.773118093,0.066770023,8.035882558,1.36E-07,7.09E-07,4.131473684,0.206573684,1.444444444,0,3.895780461,0.437156724,0.806795961,0.112818632,5.252576921,71.32480709,278.3402543,167.5370621,84.01133837,1.472222222,213.2549644,64.95351786,8.98711797,2.151236624,289.3479918,NA,NA
31,LTREB,7/21/2020,21,7,2020,CR,3,COBBLE,35.25,NA,NA,12.40970268,55.13162995,42.54900518,9.541840736,1.037151703,6.714123839,48.26486744,10.16390251,3.092817984,1.440521678,62.96239986,0.561207583,5.655920174,1.334534095,0.353534471,1.301886792,0.345756484,1.574593708,0.106262113,0.130859052,0.023095884,1.834821017,7.93E-08,6.17E-07,5.448907895,0.099071053,1.36,1.5696825,5.178050605,0.407749737,1.565567526,0.263473342,7.414876461,35.18888465,196.5419107,71.06109895,26.05573628,1.634146341,76.27148579,22.5358736,5.915807972,1.68240035,106.4059923,NA,NA
32,LTREB,7/21/2020,21,7,2020,CR,4,COBBLE,37.25,NA,NA,5.670534955,16.42701363,7.257992446,0.60873485,1.14893617,1.509122267,7.628371621,1.375600752,0.579048723,0.212083561,9.795151425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24E-07,1.35E-06,7.328447368,2.564956579,1.35,2.94722,8.372413908,0.719769987,1.113398579,0.234104487,10.43974186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,LTREB,7/21/2020,21,7,2020,CR,5,COBBLE,38,NA,NA,8.48592633,41.49662404,17.31928692,1.530265762,1.182795699,2.106375745,18.37186079,4.260126951,1.142322088,0.363637049,24.13805395,3.086641707,28.4906383,7.24238386,1.883019804,1.335784314,0.894190749,8.51113035,1.2194676,0.209194616,0.231246894,10.17109296,1.16E-07,8.36E-07,10.70966667,15.33173333,1.405063291,23.5524,10.21997967,2.789679222,5.403279111,1.494546333,19.907554,67.34958671,416.3108003,126.5754403,19.49945972,1.536082474,134.7561165,40.63029352,3.038207757,1.23410734,179.6594554,NA,NA
34,LTREB,7/21/2020,21,7,2020,GC,2,COBBLE,35.25,NA,NA,41.36567561,279.7269047,75.68291134,27.61158847,1.312903226,5.74643828,86.41503041,30.20011479,6.620398034,3.513802568,126.7498205,5.153756305,39.50082958,10.1393374,6.146973302,1.448369565,0.390939541,13.85342613,2.103931838,0.774703154,0.588805808,17.32095543,5.00E-07,2.68E-06,5.728891304,2.578001087,1.714285714,12.5913,6.771820793,1.556672185,1.038766924,0.335028261,9.702329543,188.2383768,708.5245737,NA,NA,2.013333333,173.7529056,57.94929403,5.834167661,1.069649105,238.6069287,NA,NA
35,LTREB,7/21/2020,21,7,2020,GC,3,COBBLE,21.5,NA,NA,35.06670508,9.577358161,22.75263568,3.886069633,1.358803987,6.070687653,25.27911938,4.381415876,2.41428684,0.987819278,33.06279974,0.531978022,2.438914622,0.371484345,0.072111667,1.489361702,0.186028622,0.421993039,0.009903712,0.003432077,-0.017284866,0.41804658,4.66E-08,1.06E-07,1.5308,0.34443,1.6,0,1.138763267,0.043011467,0.298526067,-0.029965267,1.4503427,52.61321092,133.2236651,0.024381195,0.004063532,1.508130081,0.024417944,0.013344133,0.001460835,0.000254366,0.039477384,NA,NA
36,LTREB,7/21/2020,21,7,2020,GC,4,COBBLE,32.5,NA,NA,7.365849529,29.31608112,11.93120307,2.753354554,1.285140562,3.261598171,13.71951593,1.53645483,1.238078015,0.391481153,16.88561832,1.761373383,15.74479566,0.682095204,1.529329247,1.509615385,0.374056546,0.825433888,0.167349833,0.268445674,-0.024043016,1.23719095,2.15E-07,1.31E-06,2.60325,1.648725,1.6,0,2.8901925,0.54690675,0.343923125,0.109422625,3.890462875,22.33138508,42.13850522,45.17399554,9.96144517,1.598130841,49.27528502,21.93219825,-0.658231057,0.806468397,71.35595922,NA,NA
37,LTREB,7/21/2020,21,7,2020,BG,1,COBBLE,32.25,NA,NA,4.037576779,11.50709382,2.887588393,0.30608437,1.2890625,2.046618829,3.013975217,0.690736667,0.224906365,0.002069546,3.931704882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.37E-06,3.54E-06,0.906394737,0.997034211,1.625,4.93425,1.151431934,0.155636803,-0.021071132,-0.022848276,1.263156118,2.593246707,8.227537005,9.71768839,1.80346289,1.55704698,10.6637739,4.677551286,-0.046173857,0.012562794,15.30776462,NA,NA
38,LTREB,7/21/2020,21,7,2020,BG,2,COBBLE,22.75,NA,NA,5.198185239,17.59385773,10.67627276,2.111529501,1.62962963,1.680746561,12.06990134,2.093032403,0.765051132,0.218750742,15.14680892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38E-08,1.37E-07,1.071926471,0.929002941,1.6,17.788225,1.086795603,0.08865675,-0.013629926,-0.167945853,0.993881926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,LTREB,7/21/2020,21,7,2020,BG,3,COBBLE,10,NA,NA,0.631358531,2.525434124,2.285096977,0.284700607,1.639240506,0.951246853,2.424847907,0.469530817,0.171500969,0.052946007,3.118840291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03E-07,9.19E-07,0.9345,0.84105,1.6,5.308,1.1064625,0.2635395,0.340696,-0.360763,1.349938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,LTREB,7/21/2020,21,7,2020,BG,4,COBBLE,28.25,NA,NA,0.315679266,0.599790604,0.702386366,0.143286819,NA,0.382813723,0.772516303,0.182669385,-0.104405024,0.032535063,0.883320357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25E-07,3.52E-06,1.795892857,1.221207143,1.631578947,4.27705,2.066792869,0.566954631,0.642990179,0.086880857,3.363630643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,LTREB,7/21/2020,21,7,2020,BG,5,COBBLE,38,NA,NA,17.04668034,85.42280925,32.36596373,6.574336384,1.38150289,5.790189088,35.80369673,11.95291728,3.048763738,1.737406183,52.54298565,1.215949763,6.718122443,2.365369704,1.197758286,1.540498442,1.044500847,3.08957553,0.492635055,0.275073024,0.091454274,3.948757165,5.66E-07,1.81E-07,50.73,34.4964,1.529411765,5.6202,60.507058,2.767958,6.864548,-1.365378,68.774566,77.46301503,337.0858273,274.3701422,59.01546455,1.435986159,305.2647612,136.6734506,-0.210290337,1.60963429,443.3390001,NA,NA
42,LTREB,8/4/2020,4,8,2020,BG,1,COBBLE,26.5,NA,NA,8.965291141,61.22961801,21.38844527,5.219667213,1.170454545,34.88992469,24.57522358,1.565710897,2.109646317,0.323761567,28.57450258,1.210103851,6.348660784,2.013507582,0.422992678,1.416666667,2.430730344,2.28075323,0.17995355,0.249763038,0.031490877,2.741975427,1.02E-07,1.41E-06,5.053928571,4.851771429,1.447368421,16.2127,7.7040005,0.596397643,0.421143679,0.043391857,8.764982893,5.247290902,48.73854023,8.860903002,1.564797764,1.596774194,9.656912045,0.735255828,0.942745992,0.01598832,11.35096362,NA,NA
43,LTREB,8/4/2020,4,8,2020,BG,2,COBBLE,55.75,NA,NA,16.24491346,135.0984492,23.95449679,6.732841574,1.268760908,31.28779043,27.91191014,2.35793743,2.905969385,0.514343576,33.69034127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97E-08,7.11E-07,3.307833333,2.480875,1.333333333,17.33825,4.256236847,-0.047861375,0.166283667,-0.086177111,4.288509903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,LTREB,8/4/2020,4,8,2020,BG,3,SAND,32.25,NA,NA,4.822877668,31.44516239,13.18613337,3.615885011,1.094313454,11.3974245,15.40733997,2.576027251,0.707196686,0.468663716,19.15932331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08E-08,3.39E-07,2.969224138,1.187689655,1.416666667,9.88785,2.963892879,0.793071983,0.819505862,-0.084032379,4.492453914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
